# Phys.Lett. B223 (1989) 485-489,,,
# x,Q2,F2,err
# 100 GeV beam energy,,,
0.07,7.5,0.38934,0.006
0.07,8.75,0.37625,0.00521
0.1,7.5,0.38055,0.00424
0.1,8.75,0.38347,0.00351
0.1,10.25,0.3796,0.00362
0.14,8.75,0.3756,0.0039
0.14,10.25,0.37676,0.00396
0.14,11.75,0.37259,0.0043
0.14,13.25,0.36575,0.00468
0.14,15,0.37196,0.00481
0.18,8.75,0.36786,0.00489
0.18,10.25,0.36457,0.00474
0.18,11.75,0.36492,0.00501
0.18,13.25,0.3627,0.00534
0.18,15,0.36228,0.00521
0.18,17,0.3535,0.00571
0.225,10.25,0.34051,0.00481
0.225,11.75,0.34545,0.00501
0.225,13.25,0.33693,0.0052
0.225,15,0.33517,0.0049
0.225,17,0.31962,0.00522
0.225,19,0.32172,0.00578
0.225,21.5,0.31154,0.00552
0.225,24.5,0.32112,0.00522
0.225,28,0.3141,0.00529
0.275,10.25,0.3044,0.00536
0.275,11.75,0.29925,0.00545
0.275,13.25,0.30155,0.00574
0.275,15,0.30341,0.00527
0.275,17,0.30373,0.00564
0.275,19,0.28923,0.00592
0.275,21.5,0.29763,0.00559
0.275,24.5,0.27886,0.00498
0.275,28,0.28971,0.00507
0.275,32.5,0.2809,0.00471
0.275,37.5,0.26784,0.00583
0.35,11.75,0.24001,0.00427
0.35,13.25,0.23349,0.00434
0.35,15,0.23093,0.00383
0.35,17,0.23689,0.0041
0.35,19,0.22257,0.00416
0.35,21.5,0.23218,0.00388
0.35,24.5,0.22318,0.00283
0.35,28,0.22454,0.00353
0.35,32.5,0.21917,0.0032
0.35,37.5,0.21761,0.00344
0.35,43,0.21422,0.00367
0.45,11.75,0.1602,0.00409
0.45,13.25,0.15598,0.0043
0.45,15,0.1602,0.00409
0.45,17,0.15323,0.00403
0.45,19,0.15558,0.00429
0.45,21.5,0.1447,0.00362
0.45,24.5,0.14443,0.00256
0.45,28,0.13996,0.00313
0.45,32.5,0.14332,0.00282
0.45,37.5,0.14506,0.0031
0.45,43,0.14063,0.00311
0.45,49.5,0.13379,0.0031
0.45,57,0.13603,0.00354
0.55,11.75,0.09286,0.00316
0.55,13.25,0.08784,0.00329
0.55,15,0.08998,0.00306
0.55,17,0.08469,0.00308
0.55,19,0.08286,0.00319
0.55,21.5,0.08279,0.00289
0.55,24.5,0.08513,0.00206
0.55,28,0.08099,0.00199
0.55,32.5,0.08516,0.00236
0.55,37.5,0.081,0.00247
0.55,43,0.08005,0.00251
0.55,49.5,0.0769,0.0025
0.55,57,0.07387,0.00267
0.55,65.5,0.07196,0.00287
0.65,13.25,0.04389,0.00187
0.65,15,0.04264,0.00166
0.65,17,0.04166,0.00184
0.65,19,0.0415,0.00198
0.65,21.5,0.0401,0.00178
0.65,24.5,0.04115,0.00121
0.65,28,0.03869,0.00121
0.65,32.5,0.03826,0.00143
0.65,37.5,0.03662,0.00161
0.65,43,0.03524,0.00166
0.65,49.5,0.03303,0.00166
0.65,57,0.03363,0.00184
0.65,65.5,0.0298,0.00186
0.65,75,0.03194,0.00217
0.75,24.5,0.01357,0.00064
0.75,28,0.01365,0.00068
0.75,32.5,0.01307,0.00065
0.75,37.5,0.01169,0.00074
0.75,43,0.01105,0.00079
0.75,49.5,0.01082,0.00084
0.75,57,0.01148,0.001
0.75,65.5,0.00966,0.00102
0.75,75,0.01031,0.00119
# 120 GeV beam energy,,,
0.07,8.75,0.37824,0.00583
0.07,10.25,0.37381,0.00596
0.1,10.25,0.38707,0.00456
0.1,11.75,0.38341,0.00476
0.1,13.25,0.38291,0.00516
0.14,11.75,0.38246,0.00571
0.14,13.25,0.37607,0.00583
0.14,15,0.37557,0.00564
0.14,17,0.37197,0.00627
0.14,19,0.36223,0.00684
0.18,11.75,0.36009,0.00686
0.18,13.25,0.35608,0.00688
0.18,15,0.34792,0.00643
0.18,17,0.35021,0.00693
0.18,19,0.34539,0.00745
0.18,21.5,0.3567,0.00694
0.18,24.5,0.33272,0.00798
0.225,11.75,0.32274,0.0066
0.225,13.25,0.3404,0.00703
0.225,15,0.32526,0.00632
0.225,17,0.33403,0.00678
0.225,19,0.31631,0.00705
0.225,21.5,0.32392,0.00648
0.225,24.5,0.31374,0.00709
0.225,28,0.31301,0.00592
0.225,32.5,0.31897,0.00582
0.275,13.25,0.30041,0.00785
0.275,15,0.31094,0.00731
0.275,17,0.29574,0.00722
0.275,19,0.2956,0.00754
0.275,21.5,0.29235,0.00676
0.275,24.5,0.28614,0.00484
0.275,28,0.28387,0.00463
0.275,32.5,0.28255,0.00472
0.275,37.5,0.28359,0.00609
0.275,43,0.26798,0.00615
0.35,13.25,0.23697,0.00604
0.35,15,0.23426,0.00545
0.35,17,0.23448,0.00534
0.35,19,0.22909,0.00549
0.35,21.5,0.22136,0.00466
0.35,24.5,0.23127,0.00351
0.35,28,0.22575,0.00332
0.35,32.5,0.22033,0.00319
0.35,37.5,0.22098,0.00413
0.35,43,0.2171,0.00418
0.35,49.5,0.20737,0.00422
0.35,57,0.21152,0.00496
0.45,13.25,0.15958,0.00593
0.45,15,0.16145,0.00548
0.45,17,0.1524,0.00528
0.45,19,0.15374,0.00554
0.45,21.5,0.15342,0.0048
0.45,24.5,0.14968,0.00319
0.45,28,0.14585,0.00303
0.45,32.5,0.14579,0.00291
0.45,37.5,0.14296,0.00316
0.45,43,0.14187,0.00365
0.45,49.5,0.13688,0.00367
0.45,57,0.13681,0.00386
0.45,65.5,0.13381,0.00421
0.45,75,0.12253,0.00479
0.55,15,0.08494,0.00385
0.55,17,0.07999,0.00362
0.55,19,0.09073,0.00451
0.55,21.5,0.08537,0.00371
0.55,24.5,0.09156,0.00433
0.55,28,0.08154,0.00229
0.55,32.5,0.07923,0.0022
0.55,37.5,0.0786,0.00247
0.55,43,0.07617,0.00285
0.55,49.5,0.07888,0.003
0.55,57,0.07464,0.00309
0.55,65.5,0.06671,0.0032
0.55,75,0.07039,0.00357
0.55,86,0.0702,0.00379
0.65,17,0.04111,0.00214
0.65,19,0.04282,0.00238
0.65,21.5,0.04106,0.00218
0.65,24.5,0.03654,0.0023
0.65,28,0.03692,0.00225
0.65,32.5,0.03679,0.00136
0.65,37.5,0.04065,0.0017
0.65,43,0.03612,0.00184
0.65,49.5,0.03589,0.00198
0.65,57,0.03042,0.00193
0.65,65.5,0.0356,0.00231
0.65,75,0.03168,0.00243
0.65,86,0.03041,0.00251
0.65,99,0.03436,0.00295
0.75,32.5,0.01335,0.00075
0.75,37.5,0.01194,0.00084
0.75,43,0.01238,0.00091
0.75,49.5,0.01155,0.00097
0.75,57,0.01169,0.00105
0.75,65.5,0.01056,0.00117
0.75,75,0.00992,0.00124
0.75,86,0.00961,0.00134
0.75,99,0.00815,0.00131
# 200 GeV beam energy,,,
0.07,17,0.39928,0.00521
0.07,19,0.39989,0.00527
0.1,19,0.39548,0.00407
0.1,21.5,0.39338,0.00317
0.1,24.5,0.39402,0.00339
0.14,21.5,0.37841,0.00361
0.14,24.5,0.37991,0.00378
0.14,28,0.37499,0.00362
0.14,32.5,0.36709,0.00356
0.18,21.5,0.35061,0.00419
0.18,24.5,0.36077,0.00434
0.18,28,0.36004,0.00413
0.18,32.5,0.34712,0.00288
0.18,37.5,0.34052,0.00302
0.18,43,0.34255,0.00301
0.225,28,0.32246,0.00384
0.225,32.5,0.32715,0.00365
0.225,37.5,0.31302,0.00276
0.225,43,0.31337,0.00269
0.225,49.5,0.30607,0.00264
0.225,57,0.31349,0.00363
0.275,28,0.28822,0.00409
0.275,32.5,0.28252,0.00372
0.275,37.5,0.27908,0.0029
0.275,43,0.27264,0.00272
0.275,49.5,0.27001,0.00272
0.275,57,0.27276,0.00292
0.275,65.5,0.26985,0.00361
0.275,75,0.26068,0.00385
0.35,32.5,0.22221,0.00276
0.35,37.5,0.21985,0.00209
0.35,43,0.21666,0.00201
0.35,49.5,0.21473,0.00196
0.35,57,0.2141,0.00203
0.35,65,0.20758,0.0021
0.35,75,0.20193,0.00258
0.35,86,0.20554,0.00273
0.35,99,0.20033,0.00297
0.45,32.5,0.14298,0.00266
0.45,37.5,0.13689,0.00276
0.45,43,0.13873,0.00183
0.45,49.5,0.13676,0.00179
0.45,57,0.13594,0.00185
0.45,65,0.1303,0.00183
0.45,75,0.12735,0.00225
0.45,86,0.13085,0.00235
0.45,99,0.12724,0.00243
0.45,115.5,0.12334,0.00239
0.55,32.5,0.07733,0.00202
0.55,37.5,0.08019,0.00227
0.55,43,0.07591,0.00135
0.55,49.5,0.07558,0.00136
0.55,57,0.07589,0.00145
0.55,65.5,0.0709,0.00142
0.55,75,0.07022,0.00155
0.55,86,0.07299,0.00191
0.55,99,0.06683,0.00188
0.55,115.5,0.06513,0.00185
0.55,137.5,0.06621,0.00196
0.65,32.5,0.03721,0.00122
0.65,37.5,0.03407,0.0013
0.65,43,0.03538,0.00078
0.65,49.5,0.03512,0.00083
0.65,57,0.03327,0.00086
0.65,65,0.03248,0.00092
0.65,75,0.03213,0.001
0.65,86,0.03359,0.00126
0.65,99,0.0308,0.00128
0.65,115.5,0.02839,0.00125
0.65,137.5,0.0278,0.0013
0.75,43,0.01252,0.00042
0.75,49.5,0.01189,0.00044
0.75,57,0.01076,0.00046
0.75,65,0.01068,0.00052
0.75,75,0.01117,0.00058
0.75,86,0.00999,0.00058
0.75,99,0.00905,0.0006
0.75,115.5,0.00813,0.00061
0.75,137.5,0.00903,0.00068
# 280 GeV beam energy,,,
0.1,32.5,0.39629,0.00559
0.1,37.5,0.39408,0.0063
0.14,37.5,0.37285,0.00654
0.14,43,0.37083,0.00645
0.14,49.5,0.35668,0.00661
0.14,57,0.37001,0.00802
0.18,37.5,0.3463,0.00695
0.18,43,0.35894,0.00694
0.18,49.5,0.33701,0.00706
0.18,57,0.34082,0.00475
0.18,65.5,0.33512,0.00504
0.225,37.5,0.31199,0.00658
0.225,43,0.30882,0.00631
0.225,49.5,0.31671,0.00659
0.225,57,0.30994,0.00435
0.225,65.5,0.31282,0.0047
0.225,75,0.30247,0.00499
0.225,86,0.30229,0.00533
0.275,37.5,0.27396,0.00704
0.275,43,0.27856,0.00659
0.275,49.5,0.26652,0.00657
0.275,57,0.27485,0.00459
0.275,65.5,0.26066,0.00471
0.275,75,0.27476,0.00518
0.275,86,0.2596,0.00508
0.275,99,0.25794,0.0063
0.275,115.5,0.25851,0.00693
0.35,43,0.20759,0.00472
0.35,49.5,0.21481,0.0048
0.35,57,0.21242,0.00329
0.35,65.5,0.20092,0.00333
0.35,75,0.20936,0.0036
0.35,86,0.20583,0.00358
0.35,99,0.20313,0.00375
0.35,115.5,0.20358,0.00441
0.35,137.5,0.20044,0.00472
0.45,43,0.12927,0.00441
0.45,49.5,0.13776,0.00453
0.45,57,0.13211,0.00296
0.45,65.5,0.12867,0.00308
0.45,75,0.13325,0.00326
0.45,86,0.1266,0.00317
0.45,99,0.13142,0.00336
0.45,115.5,0.11975,0.00329
0.45,137.5,0.11797,0.00388
0.45,175,0.11841,0.00365
0.55,43,0.07503,0.00349
0.55,49.5,0.0768,0.00348
0.55,57,0.07392,0.00221
0.55,65.5,0.06995,0.00234
0.55,75,0.07265,0.00258
0.55,86,0.0675,0.00247
0.55,99,0.06949,0.00262
0.55,115.5,0.06775,0.00263
0.55,137.5,0.07042,0.00324
0.55,175,0.0599,0.00273
0.55,230,0.06091,0.00366
0.65,49.5,0.03371,0.00212
0.65,57,0.03359,0.00136
0.65,65.5,0.03077,0.00138
0.65,75,0.03236,0.00156
0.65,86,0.03091,0.0016
0.65,99,0.03182,0.00173
0.65,115.5,0.029,0.00167
0.65,137.5,0.0316,0.00221
0.65,175,0.02724,0.00189
0.65,230,0.02965,0.00248
0.75,57,0.01165,0.00077
0.75,65.5,0.01225,0.00087
0.75,75,0.01111,0.00091
0.75,86,0.00985,0.00088
0.75,99,0.0101,0.00098
0.75,115.5,0.00833,0.00093
0.75,137.5,0.00925,0.00106
0.75,175,0.00832,0.00098
0.75,230,0.00798,0.0013
