# Nucl. Phys. B 483 (97) 3,,,,
# x,Q2,F2,stat,syst
0.0045,0.75,0.2695,0.0099,0.0134
0.0045,1.25,0.3237,0.0053,0.0152
0.0045,1.75,0.3674,0.007,0.0149
0.0045,2.5,0.4281,0.0162,0.0158
0.008,0.75,0.2647,0.0033,0.0078
0.008,1.25,0.3088,0.005,0.0102
0.008,1.75,0.3483,0.0062,0.0127
0.008,2.5,0.3869,0.005,0.0139
0.008,3.5,0.4209,0.0082,0.0143
0.0125,0.75,0.26,0.006,0.0051
0.0125,1.25,0.3031,0.0035,0.0066
0.0125,1.75,0.3303,0.005,0.0084
0.0125,2.5,0.3729,0.0051,0.0117
0.0125,3.5,0.3992,0.0059,0.012
0.0125,4.5,0.4164,0.0064,0.0143
0.0125,5.5,0.4548,0.0114,0.0178
0.0175,1.25,0.2976,0.0047,0.0045
0.0175,1.75,0.3299,0.0045,0.0063
0.0175,2.5,0.3576,0.0047,0.0084
0.0175,3.5,0.3808,0.0068,0.0105
0.0175,4.5,0.4129,0.0076,0.0118
0.0175,5.5,0.4206,0.0104,0.0138
0.0175,7,0.4287,0.0073,0.0152
0.025,1.25,0.3041,0.0056,0.0039
0.025,1.75,0.3247,0.004,0.0042
0.025,2.5,0.3501,0.0032,0.0054
0.025,3.5,0.3757,0.0048,0.0089
0.025,4.5,0.3912,0.0063,0.0098
0.025,5.5,0.4058,0.0067,0.0106
0.025,7,0.4176,0.0062,0.0111
0.025,9,0.4458,0.0064,0.0137
0.025,11.5,0.4835,0.012,0.0173
0.035,1.25,0.3061,0.0084,0.0044
0.035,1.75,0.3305,0.0059,0.0037
0.035,2.5,0.3578,0.004,0.0043
0.035,3.5,0.3783,0.0052,0.0059
0.035,4.5,0.3978,0.0066,0.0091
0.035,5.5,0.3947,0.0078,0.0089
0.035,7,0.413,0.0068,0.0094
0.035,9,0.4164,0.0071,0.0095
0.035,11.5,0.4406,0.0063,0.0123
0.035,15,0.4643,0.011,0.016
0.05,1.25,0.3309,0.0098,0.0071
0.05,1.75,0.3314,0.0058,0.0051
0.05,2.5,0.3448,0.0036,0.004
0.05,3.5,0.3695,0.0041,0.0047
0.05,4.5,0.3747,0.0056,0.0054
0.05,5.5,0.3831,0.0063,0.0071
0.05,7,0.3926,0.0053,0.0078
0.05,9,0.3974,0.0059,0.0074
0.05,11.5,0.4254,0.0053,0.0083
0.05,15,0.4314,0.0053,0.0106
0.05,20,0.464,0.0082,0.0147
0.07,1.25,0.314,0.0139,0.0088
0.07,1.75,0.3444,0.0084,0.007
0.07,2.5,0.3494,0.0049,0.0054
0.07,3.5,0.3754,0.0052,0.0046
0.07,4.5,0.3704,0.0062,0.0048
0.07,5.5,0.3793,0.0082,0.0048
0.07,7,0.3915,0.0076,0.0067
0.07,9,0.3962,0.0078,0.0073
0.07,11.5,0.4143,0.0068,0.0069
0.07,15,0.4095,0.006,0.0072
0.07,20,0.4274,0.0061,0.0098
0.07,27,0.479,0.014,0.0155
0.09,1.25,0.3376,0.021,0.0109
0.09,1.75,0.3394,0.0107,0.0088
0.09,2.5,0.3635,0.0064,0.0068
0.09,3.5,0.3609,0.006,0.0054
0.09,4.5,0.3699,0.0074,0.0047
0.09,5.5,0.3712,0.009,0.0049
0.09,7,0.3908,0.0089,0.0054
0.09,9,0.3688,0.0099,0.0075
0.09,11.5,0.3968,0.0079,0.0071
0.09,15,0.4025,0.0072,0.0072
0.09,20,0.4007,0.0064,0.0083
0.09,27,0.408,0.0084,0.0108
0.11,1.75,0.3454,0.0133,0.0105
0.11,2.5,0.3549,0.0076,0.008
0.11,3.5,0.3684,0.0074,0.0062
0.11,4.5,0.367,0.0082,0.0053
0.11,5.5,0.3657,0.01,0.0045
0.11,7,0.3627,0.009,0.0051
0.11,9,0.3757,0.0128,0.0066
0.11,11.5,0.3679,0.0092,0.0068
0.11,15,0.3845,0.0082,0.0072
0.11,20,0.3891,0.0071,0.0079
0.11,27,0.3764,0.0078,0.0091
0.11,36,0.433,0.017,0.0131
0.14,1.75,0.3688,0.022,0.0138
0.14,2.5,0.363,0.0071,0.0101
0.14,3.5,0.3685,0.0063,0.0073
0.14,4.5,0.354,0.0064,0.0057
0.14,5.5,0.341,0.0076,0.005
0.14,7,0.3542,0.007,0.0051
0.14,9,0.3775,0.0114,0.006
0.14,11.5,0.3737,0.0092,0.0068
0.14,15,0.37,0.0067,0.0074
0.14,20,0.365,0.0054,0.0078
0.14,27,0.3746,0.0059,0.009
0.14,36,0.3642,0.01,0.0103
0.18,2.5,0.3628,0.0109,0.0114
0.18,3.5,0.3343,0.0074,0.0082
0.18,4.5,0.3609,0.0079,0.0071
0.18,5.5,0.3277,0.0084,0.0055
0.18,7,0.3461,0.0078,0.0053
0.18,9,0.3468,0.0119,0.0056
0.18,11.5,0.3527,0.0111,0.0062
0.18,15,0.3382,0.0081,0.0069
0.18,20,0.3392,0.0062,0.0073
0.18,27,0.3413,0.0063,0.0081
0.18,36,0.3548,0.0083,0.0096
0.18,48,0.3715,0.0157,0.0114
0.225,2.5,0.333,0.0315,0.0101
0.225,3.5,0.3297,0.0087,0.0082
0.225,4.5,0.3213,0.0078,0.0065
0.225,5.5,0.3318,0.009,0.0058
0.225,7,0.3217,0.0078,0.0048
0.225,9,0.3117,0.0104,0.0049
0.225,11.5,0.3485,0.0112,0.0063
0.225,15,0.3149,0.0081,0.0064
0.225,20,0.308,0.0059,0.0065
0.225,27,0.3164,0.0061,0.0072
0.225,36,0.3031,0.0071,0.0076
0.225,48,0.3166,0.0121,0.0089
0.275,3.5,0.3016,0.0147,0.0076
0.275,4.5,0.3036,0.0101,0.006
0.275,5.5,0.3032,0.0101,0.0051
0.275,7,0.3035,0.0086,0.0049
0.275,9,0.3031,0.0125,0.0047
0.275,11.5,0.2789,0.0113,0.005
0.275,15,0.2933,0.0111,0.0055
0.275,20,0.2828,0.0066,0.0058
0.275,27,0.2645,0.0061,0.0056
0.275,36,0.2817,0.0073,0.0064
0.275,48,0.2764,0.0113,0.0068
0.275,65,0.1887,0.0289,0.0055
0.35,4.5,0.2727,0.0116,0.0127
0.35,5.5,0.2526,0.0093,0.0092
0.35,7,0.269,0.0073,0.0063
0.35,9,0.249,0.0088,0.0055
0.35,11.5,0.2354,0.0118,0.0048
0.35,15,0.2192,0.0081,0.0045
0.35,20,0.2257,0.0058,0.0045
0.35,27,0.2156,0.0044,0.0046
0.35,36,0.2163,0.0048,0.0054
0.35,48,0.2207,0.0065,0.0061
0.35,65,0.2333,0.0192,0.0074
0.5,5.5,0.1558,0.0158,0.0182
0.5,7,0.1654,0.0077,0.0161
0.5,9,0.1377,0.0063,0.0107
0.5,11.5,0.1443,0.0081,0.0085
0.5,15,0.1344,0.0101,0.0055
0.5,20,0.1192,0.0059,0.005
0.5,27,0.1185,0.0035,0.0051
0.5,36,0.1112,0.0028,0.0049
0.5,48,0.1042,0.0034,0.0049
0.5,65,0.1092,0.0088,0.0057
